game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.030866,0.000011,0.000000,23,100,Ethernet,16864,5388,1,3,0,3,0,0,186,0,0,25,0,23,0,0,0,123,127,138.0.15.115,5102,0.008516,0,0,0.069901,0.003452,Connected,2591139810092352,10.012909,7,
0.031484,0.000027,0.000000,35,176,Ethernet,10796,6412,0,0,0,0,0,0,355,0,0,34,0,35,0,0,0,211,210,138.0.15.115,5102,0.005804,0,0,0.069800,0.002859,Connected,2591139810092352,10.012001,7,
0.031258,0.000259,0.062127,19,132,Ethernet,24663,4787,0,0,0,0,0,0,1943,0,0,60,0,19,0,0,0,151,151,138.0.15.115,5102,0.006132,0,0,0.070008,0.002751,Connected,2591139810092352,27.129942,7,
0.008575,0.000072,0.062127,75,212,Ethernet,13446,14933,0,0,0,0,0,0,442,0,0,74,0,75,0,0,0,287,287,138.0.15.115,5102,0.012211,0,0,0.069852,0.002575,Connected,2591139810092352,10.008361,7,
0.008491,0.000068,0.062127,75,192,Ethernet,10358,13906,0,0,0,0,0,0,300,0,0,75,0,75,0,0,0,267,267,138.0.15.115,5102,0.008323,0,0,0.069748,0.002681,Connected,2591139810092352,10.008905,7,
0.008449,0.000068,0.062127,38,186,Ethernet,9469,7645,0,0,0,0,0,0,299,0,0,40,0,38,0,0,0,224,225,138.0.15.115,5102,0.005897,0,0,0.070281,0.002884,Connected,2591139810092352,10.000014,7,
0.008547,0.000067,0.062127,36,165,Ethernet,8224,6113,0,0,0,0,0,0,250,0,0,34,0,36,0,0,0,201,200,138.0.15.115,5102,0.005647,0,0,0.070370,0.003225,Connected,2591139810092352,10.008626,7,
0.013177,0.000412,5.015196,113,237,Ethernet,35091,12233,0,0,0,0,0,0,602,0,0,127,0,113,0,0,0,350,351,138.0.15.115,5102,0.010653,0,0,0.069849,0.002388,Connected,2591139810092352,10.007806,7,
0.016688,0.000000,15.027451,228,240,Ethernet,37163,21079,0,0,0,0,0,0,405,0,0,255,0,228,0,0,0,468,469,138.0.15.115,5102,0.015494,0,0,0.070079,0.002130,Connected,2591139810092352,10.012718,7,
0.016688,0.000000,25.039385,262,308,Ethernet,57301,25419,0,0,0,0,0,0,1861,0,0,303,0,262,0,0,0,570,570,138.0.15.115,5102,0.020600,0,0,0.069844,0.001750,Connected,2591139810092352,10.012504,7,
0.016709,0.000000,35.047531,266,318,Ethernet,61125,24082,0,0,0,0,0,0,2244,0,0,324,0,266,0,0,0,584,584,138.0.15.115,5102,0.021157,0,0,0.069944,0.001812,Connected,2591139810092352,10.008528,7,
0.016687,0.000000,45.059616,276,318,Ethernet,77436,22417,0,0,0,0,0,0,1815,0,0,359,0,276,0,0,0,594,594,138.0.15.115,5102,0.020800,0,0,0.069983,0.002027,Connected,2591139810092352,10.012470,7,
0.016688,0.000000,55.071774,258,307,Ethernet,46378,20892,0,0,0,0,0,0,1497,0,0,319,0,258,0,0,0,565,564,138.0.15.115,5102,0.018999,0,0,0.070041,0.001696,Connected,2591139810092352,10.012558,7,
0.016706,0.000000,65.078537,275,315,Ethernet,55032,20768,0,0,0,0,0,0,1265,0,0,334,0,275,0,0,0,590,591,138.0.15.115,5102,0.019856,0,0,0.070161,0.001730,Connected,2591139810092352,10.007011,7,
0.016734,0.000001,75.085098,264,321,Ethernet,78743,20374,0,0,0,0,0,0,1939,0,0,347,0,264,0,0,0,585,586,138.0.15.115,5102,0.020555,0,0,0.069979,0.002032,Connected,2591139810092352,10.006897,7,
0.016691,0.000000,85.099136,291,333,Ethernet,103317,22276,0,0,0,0,0,0,2219,0,0,431,0,291,0,0,0,624,623,138.0.15.115,5102,0.022170,0,0,0.069707,0.001998,Connected,2591139810092352,10.014575,7,
0.016784,0.000006,95.102303,280,348,Ethernet,107927,21418,0,0,0,0,0,0,2526,0,0,393,0,280,0,0,0,628,629,138.0.15.115,5102,0.022546,0,0,0.069974,0.002049,Connected,2591139810092352,10.003514,7,
0.016688,0.000000,105.114288,286,318,Ethernet,86162,20210,0,0,0,0,0,0,2056,0,0,385,0,286,0,0,0,604,602,138.0.15.115,5102,0.021745,0,0,0.069908,0.001921,Connected,2591139810092352,10.012585,7,
0.016690,0.000000,115.127815,305,357,Ethernet,121028,23190,0,0,0,0,0,0,2604,0,0,429,0,305,0,0,0,662,663,138.0.15.115,5102,0.023410,0,0,0.069983,0.001936,Connected,2591139810092352,10.013965,7,
0.016687,0.000000,125.139717,291,339,Ethernet,92528,21941,0,0,0,0,0,0,2076,0,0,408,0,291,0,0,0,630,629,138.0.15.115,5102,0.021695,0,0,0.069822,0.001936,Connected,2591139810092352,10.012497,7,
0.016715,0.000000,135.151535,271,339,Ethernet,95086,21103,0,0,0,0,0,0,2526,0,0,389,0,271,0,0,0,610,610,138.0.15.115,5102,0.022056,0,0,0.069795,0.001941,Connected,2591139810092352,10.012364,7,
0.016760,0.000001,145.157104,300,345,Ethernet,104843,22587,0,0,0,0,0,0,2365,0,0,423,0,300,0,0,0,645,645,138.0.15.115,5102,0.023075,0,0,0.070016,0.001716,Connected,2591139810092352,10.005893,7,
0.016687,0.000000,155.169205,268,327,Ethernet,92481,19758,0,0,0,0,0,0,2172,0,0,374,0,268,0,0,0,595,597,138.0.15.115,5102,0.020763,0,0,0.069799,0.001892,Connected,2591139810092352,10.012399,7,
0.016687,0.000000,165.181274,287,305,Ethernet,60335,20651,0,0,0,0,0,0,1193,0,0,382,0,287,0,0,0,592,591,138.0.15.115,5102,0.020118,0,0,0.069891,0.001918,Connected,2591139810092352,10.012488,7,
0.016687,0.000000,175.193115,277,412,Ethernet,157183,23070,0,0,0,0,0,0,3686,0,0,383,0,277,0,0,0,689,689,138.0.15.115,5102,0.023266,0,0,0.070119,0.001893,Connected,2591139810092352,10.012297,7,
0.016688,0.000000,185.205246,294,341,Ethernet,89955,22081,0,0,0,0,0,0,1981,0,0,409,0,294,0,0,0,635,635,138.0.15.115,5102,0.021367,0,0,0.069884,0.001788,Connected,2591139810092352,10.012542,7,
0.016699,0.000000,195.207535,279,321,Ethernet,74238,20581,0,0,0,0,0,0,1919,0,0,381,0,279,0,0,0,600,600,138.0.15.115,5102,0.020988,0,0,0.069962,0.001757,Connected,2591139810092352,10.002761,7,
0.016687,0.000000,205.219620,295,343,Ethernet,101148,22603,0,0,0,0,0,0,2400,0,0,425,0,295,0,0,0,638,639,138.0.15.115,5102,0.022161,0,0,0.070024,0.001843,Connected,2591139810092352,10.012413,7,
0.016691,0.000000,215.233871,311,378,Ethernet,122955,23978,0,0,0,0,0,0,2661,0,0,442,0,311,0,0,0,689,688,138.0.15.115,5102,0.024002,0,0,0.069955,0.001900,Connected,2591139810092352,10.014709,7,
0.016886,0.000023,225.246750,270,389,Ethernet,113151,22304,0,0,0,0,0,0,2904,0,0,375,0,270,0,0,0,659,659,138.0.15.115,5102,0.021800,0,0,0.069992,0.002072,Connected,2591139810092352,10.013396,7,
0.016688,0.000000,235.258850,269,315,Ethernet,83055,19369,0,0,0,0,0,0,1859,0,0,349,0,269,0,0,0,584,584,138.0.15.115,5102,0.020706,0,0,0.069827,0.001820,Connected,2591139810092352,10.012613,7,
0.016687,0.000000,245.270889,267,370,Ethernet,105672,21444,0,0,0,0,0,0,2967,0,0,372,0,267,0,0,0,637,636,138.0.15.115,5102,0.022514,0,0,0.069898,0.002220,Connected,2591139810092352,10.012434,7,
0.016687,0.000000,255.283112,283,335,Ethernet,94615,22289,0,0,0,0,0,0,2620,0,0,402,0,283,0,0,0,618,619,138.0.15.115,5102,0.022448,0,0,0.069985,0.001887,Connected,2591139810092352,10.012450,7,
0.016688,0.000000,265.295288,280,342,Ethernet,96678,22160,0,0,0,0,0,0,2754,0,0,415,0,280,0,0,0,622,622,138.0.15.115,5102,0.022742,0,0,0.069931,0.001886,Connected,2591139810092352,10.012563,7,
0.016687,0.000000,275.307281,290,331,Ethernet,89904,21960,0,0,0,0,0,0,2262,0,0,400,0,290,0,0,0,621,622,138.0.15.115,5102,0.021891,0,0,0.069837,0.001814,Connected,2591139810092352,10.012450,7,
0.016688,0.000000,285.319397,297,328,Ethernet,84759,22206,0,0,0,0,0,0,2015,0,0,425,0,297,0,0,0,625,624,138.0.15.115,5102,0.021861,0,0,0.070061,0.001910,Connected,2591139810092352,10.012546,7,
0.016707,0.000000,295.326569,281,327,Ethernet,89987,22378,0,0,0,0,0,0,2112,0,0,402,0,281,0,0,0,608,608,138.0.15.115,5102,0.021823,0,0,0.069933,0.002082,Connected,2591139810092352,10.007558,7,
0.016688,0.000000,305.338715,290,324,Ethernet,81373,21071,0,0,0,0,0,0,2020,0,0,372,0,290,0,0,0,614,613,138.0.15.115,5102,0.021955,0,0,0.069796,0.001873,Connected,2591139810092352,10.012569,7,
0.016688,0.000000,315.350861,286,316,Ethernet,69016,20873,0,0,0,0,0,0,1732,0,0,399,0,286,0,0,0,602,602,138.0.15.115,5102,0.021464,0,0,0.069743,0.002025,Connected,2591139810092352,10.012735,7,
0.016703,0.000000,325.355286,305,379,Ethernet,140922,24485,0,0,0,0,0,0,3157,0,0,431,0,305,0,0,0,684,684,138.0.15.115,5102,0.024336,0,0,0.070072,0.001721,Connected,2591139810092352,10.004838,7,
0.016703,0.000000,335.359894,290,398,Ethernet,137825,23525,0,0,0,0,0,0,3215,0,0,410,0,290,0,0,0,688,689,138.0.15.115,5102,0.023072,0,0,0.069999,0.001824,Connected,2591139810092352,10.004962,7,
0.016729,0.000000,345.363586,293,355,Ethernet,104414,22144,0,0,0,0,0,0,2801,0,0,398,0,293,0,0,0,648,647,138.0.15.115,5102,0.022889,0,0,0.069832,0.001795,Connected,2591139810092352,10.004067,7,
0.016687,0.000000,355.375580,282,325,Ethernet,84518,21070,0,0,0,0,0,0,2073,0,0,392,0,282,0,0,0,607,607,138.0.15.115,5102,0.021537,0,0,0.070004,0.002044,Connected,2591139810092352,10.012469,7,
0.016687,0.000000,365.387543,285,353,Ethernet,99325,22098,0,0,0,0,0,0,3042,0,0,398,0,285,0,0,0,638,639,138.0.15.115,5102,0.022948,0,0,0.069927,0.001857,Connected,2591139810092352,10.012391,7,
0.016697,0.000000,375.388977,272,368,Ethernet,116582,21574,0,0,0,0,0,0,2898,0,0,372,0,272,0,0,0,640,640,138.0.15.115,5102,0.022196,0,0,0.069879,0.001828,Connected,2591139810092352,10.001762,7,
0.016687,0.000000,385.401001,247,321,Ethernet,83474,18237,0,0,0,0,0,0,2259,0,0,331,0,247,0,0,0,568,568,138.0.15.115,5102,0.019798,0,0,0.069850,0.002091,Connected,2591139810092352,10.012372,7,
0.016687,0.000000,395.413147,257,310,Ethernet,69736,20001,0,0,0,0,0,0,1919,0,0,324,0,257,0,0,0,567,566,138.0.15.115,5102,0.020929,0,0,0.069915,0.001983,Connected,2591139810092352,10.012480,7,
0.016697,0.000000,405.414429,257,311,Ethernet,63733,23853,0,0,0,0,0,0,1725,0,0,318,0,257,0,0,0,568,569,138.0.15.115,5102,0.020746,0,0,0.069757,0.001747,Connected,2591139810092352,10.001787,7,
0.016688,0.000000,415.426605,258,323,Ethernet,81595,22185,0,0,0,0,0,0,2379,0,0,347,0,258,0,0,0,581,581,138.0.15.115,5102,0.021576,0,0,0.070045,0.001862,Connected,2591139810092352,10.012508,7,
0.016687,0.000000,425.438629,299,326,Ethernet,84659,22202,0,0,0,0,0,0,1675,0,0,394,0,299,0,0,0,625,624,138.0.15.115,5102,0.021525,0,0,0.069844,0.002033,Connected,2591139810092352,10.012355,7,
0.016688,0.000000,435.451141,291,371,Ethernet,122419,23125,0,0,0,0,0,0,2948,0,0,422,0,291,0,0,0,662,663,138.0.15.115,5102,0.022856,0,0,0.070009,0.001982,Connected,2591139810092352,10.012799,7,
0.016688,0.000000,445.463531,296,342,Ethernet,106074,21289,0,0,0,0,0,0,2501,0,0,386,0,296,0,0,0,638,637,138.0.15.115,5102,0.022189,0,0,0.069833,0.001756,Connected,2591139810092352,10.013007,7,
0.016688,0.000000,455.475464,276,337,Ethernet,98244,20941,0,0,0,0,0,0,2389,0,0,382,0,276,0,0,0,613,615,138.0.15.115,5102,0.021770,0,0,0.069809,0.001813,Connected,2591139810092352,10.012510,7,
0.016687,0.000000,465.487488,296,321,Ethernet,91138,22442,0,0,0,0,0,0,2118,0,0,449,0,296,0,0,0,617,616,138.0.15.115,5102,0.022243,0,0,0.069906,0.001965,Connected,2591139810092352,10.012374,7,
0.016689,0.000000,475.500427,291,360,Ethernet,107105,22576,0,0,0,0,0,0,2192,0,0,395,0,291,0,0,0,651,652,138.0.15.115,5102,0.022450,0,0,0.070039,0.002091,Connected,2591139810092352,10.013409,7,
0.016688,0.000000,485.512329,281,352,Ethernet,95275,21894,0,0,0,0,0,0,2648,0,0,389,0,281,0,0,0,633,631,138.0.15.115,5102,0.022357,0,0,0.069834,0.001966,Connected,2591139810092352,10.012519,7,
0.016687,0.000000,495.524170,284,332,Ethernet,85832,21688,0,0,0,0,0,0,2433,0,0,397,0,284,0,0,0,616,616,138.0.15.115,5102,0.022363,0,0,0.069837,0.002019,Connected,2591139810092352,10.012411,7,
0.016691,0.000000,505.538147,289,325,Ethernet,84568,21993,0,0,0,0,0,0,2472,0,0,400,0,289,0,0,0,614,615,138.0.15.115,5102,0.022507,0,0,0.069951,0.001794,Connected,2591139810092352,10.014343,7,
0.016691,0.000000,515.552124,332,375,Ethernet,125614,35225,0,0,0,0,0,0,3117,0,0,445,0,332,0,0,0,707,708,138.0.15.115,5102,0.025475,0,0,0.069869,0.001829,Connected,2591139810092352,10.014355,7,
0.016701,0.000000,525.555603,307,412,Ethernet,146418,34590,0,0,0,0,0,0,3641,0,0,451,0,307,0,0,0,719,719,138.0.15.115,5102,0.024304,0,0,0.070020,0.001806,Connected,2591139810092352,10.003757,7,
0.016687,0.000000,535.567688,237,325,Ethernet,68453,19020,0,0,0,0,0,0,1946,0,0,308,0,237,0,0,0,562,559,138.0.15.115,5102,0.019452,0,0,0.070073,0.001987,Connected,2591139810092352,10.012483,7,
0.016687,0.000000,545.579895,243,359,Ethernet,75740,20346,0,0,0,0,0,0,1940,0,0,307,0,243,0,0,0,602,604,138.0.15.115,5102,0.020004,0,0,0.070074,0.001989,Connected,2591139810092352,10.012474,7,
0.016688,0.000000,555.592041,264,310,Ethernet,61639,21382,0,0,0,0,0,0,2281,0,0,336,0,264,0,0,0,574,574,138.0.15.115,5102,0.021730,0,0,0.069845,0.001800,Connected,2591139810092352,10.012658,7,
0.016687,0.000000,565.603882,265,343,Ethernet,93507,22085,0,0,0,0,0,0,3164,0,0,346,0,265,0,0,0,608,608,138.0.15.115,5102,0.022794,0,0,0.069987,0.001857,Connected,2591139810092352,10.012471,7,
0.016699,0.000000,575.605957,278,328,Ethernet,93449,21641,0,0,0,0,0,0,2884,0,0,385,0,278,0,0,0,606,606,138.0.15.115,5102,0.022516,0,0,0.069867,0.001822,Connected,2591139810092352,10.002457,7,
0.016688,0.000000,585.618225,294,331,Ethernet,88836,23306,0,0,0,0,0,0,2175,0,0,413,0,294,0,0,0,625,625,138.0.15.115,5102,0.022538,0,0,0.069924,0.001799,Connected,2591139810092352,10.012655,7,
